id;mainLocale;categoryName;Classifications-it;Classifications-de;Classifications-en;name;stars;Address-it;Address-de;Address-en;urlPage;email;phone;phone 2;fax;pictureUrl;ShortDescription-it;ShortDescription-de;ShortDescription-en;pictureWidth;pictureHeight;latitude;longitude;status;lastModificationDate
dormire.4000;it;dormire;Hotel;Hotel;Hotel;Accademia;4;Vicolo Colico 4/6, 38122 Trento ;Vicolo Colico 4/6, 38122 Trient ;Vicolo Colico 4/6, 38122 Trento ;http://www.accademiahotel.it;info@accademiahotel.it;0461 233600;;0461 230174;accademia.jpg;L'Albergo Accademia, situato in un'antica casa del 1400 sapientemente ristrutturata, per far risaltare alcuni particolari architettonici, si trova nel centro storico della città e gode di facile accessibilità sia dalla stazione ferroviaria (500 mt) che dall'autostrada. Offre 40 camere e 2 suite, alcune riservate ai non fumatori, dove sono benvenuti anche gli animali domestici. Tutte le camere sono modernamente arredate, con bagno e servizi che possano favorire un piacevole soggiorno. D'estate si può gustare una piacevole colazione nella corte interna diventata giardino. ;Das in einem rundum renovierten antiken Gebäude aus dem 15. Jh. mit besonders schönen architektonischen Details untergebrachte Hotel Accademia befindet sich in der Altstadt und ist sowohl vom Bahnhof (500 m) als auch von der Autobahn aus leicht erreichbar. Es verfügt über 40 Zimmer und 2 Suiten ─ davon einige spezielle Nichtraucherzimmer ─  in denen Haustiere erlaubt sind. Alle Zimmer sind modern, mit Bad und sonstigen für einen angenehmen Aufenthalt erforderlichen Einrichtungen ausgestattet. Im Sommer lädt der als Garten eingerichtete Innenhof zu einem gemütlichen und wohlschmeckenden Frühstück ein. ;Hotel Accademia, situated in an old fifteenth-century building skilfully restored to highlight its architectural features, is found in the town centre and can be easily reached both from the train station (500m) and from the motorway. It has 40 rooms and 2 suites, some of which reserved for non smokers. Pets are welcome. All the rooms are furnished in a contemporary style, with en-suite bathrooms and conveniences that can guarantee a pleasant stay. In summer, breakfast can be enjoyed in the pleasant inner court that has been turned into a garden. ;0;213;46.068724;11.120395;1;28/05/2014 14:00 AM +0100
dormire.4001;it;dormire;Hotel;Hotel;Hotel;Adige;4;Via Pomeranos 10, 38123 Trento;Via Pomeranos 10, 38123 Trient;Via Pomeranos 10, 38123 Trento;http://www.adigehotel.it;info@adigehotel.it;0461 944545;;0461 944520;adige.jpg;Situato a pochi minuti dall'uscita autostradale, sull'asse viaria centrale di Trento, Hotel Adige offre ai propri clienti la certezza di un'ospitalità con servizi di alta qualità, confortevoli, funzionali e allo stesso tempo rilassanti. Dispone di 80 camere, suddivise in tre tipologie differenti (Classic, Superior, De Luxe), tutte con servizi privati, balcone, Tv-Sat, Internet Wireless (gratuito), telefono, minibar, climatizzazione, cassetta di sicurezza. L'hotel dispone di ristorante interno e esterno, bar, cinque ampie sale meeting, parcheggio, terrazza panoramica. A disposizione dei clienti il rinomato Centro Benessere Greta, dotato di sauna, vitarium, bagno turco, kneipp, idromassaggio, piscina, zona fitness. ;Das nur wenige Minuten von der Autobahnausfahrt an der zentralen Verkehrsachse Trient gelegene Hotel Adige bietet seinen Kunden Gastfreundlichkeit gepaart mit einem qualitativ hochwertigen, komfortablen, funktionellen und dennoch entspannenden Serviceangebot. Das Hotel verfügt über 80 in drei Typologien unterteilte Zimmer (Classic, Superior, De Luxe) mit Bad, Balkon. Sat-TV, Internet Wi-Fi (kostenlos), Telefon, Minibar, Klimaanlage und Tresor. Es bietet ein In- und Outdoor-Restaurant, eine Bar, großräumige Konferenzsäle, einen Parkplatz und eine Panoramaterrasse. Auf die Gäste wartet das renommierte Wellnesscenter Greta mit Sauna, Vitarium, Dampfbad, Kneipp-Bad, Hydromassage, Pool und Fitnessbereich. ;Situated only a few minutes from the motorway exit, on Trento's main central road axis, Hotel Adige offers its guests the certainty of receiving high quality services that are both comfortable and functional, yet relaxing. It has 80 rooms classed in three different categories (Classic, Superior, De Luxe), all with en-suite bathroom, balcony, satellite TV, Wireless Internet connection (free), telephone, mini bar, air-conditioning and safe-deposit box. The hotel has an indoor and outdoor restaurant, bar, five large meeting rooms, car park and panoramic terrace. Guests can enjoy the renowned Greta Wellness Centre with a sauna, vitarium, steam bath, Kneipp stepping bath, whirlpool, swimming pool and fitness area. ;0;213;46.014727;11.132748;1;28/05/2014 14:00 AM +0100
dormire.4002;it;dormire;Hotel;Hotel;Hotel;Alpine Mugon;4;Strada per Vason 118, 38123 Vason del Monte Bondone ;Strada per Vason 118, 38123 Vason del Monte Bondone ;Strada per Vason 118, 38123 Vason del Monte Bondone ;http://www.hotelalpinemugon.com;info@alpinemugon.trentino.it;0461 947116;;0461 947129;mugon.jpg;L'Alpine Mugon Hotel stimola i tuoi sensi, per vivere momenti speciali con la tua famiglia e aggiungere piacevolezza al tuo soggiorno. Sentirsi bene, rilassarsi, riappropriarsi del proprio tempo. Questo e tanto altro potrete ritrovare nel nuovo Alpine Mugon dove scoprirete anche voi com'è naturale, facile e meraviglioso sentirsi bene. Ambienti luminosi, eleganti e confortevoli. Deliziose specialità della tradizione e creazioni originali. La forza rigenerante dell'acqua e del calore in un bellissimo centro benessere di oltre 1.000 metri quadrati con piscina, giochi acquatici, zone relax e tutto quanto serve per ritrovare l'armonia con il proprio corpo. Il sogno di una vacanza che diventa una vacanza da sogno sul Monte Bondone.;Das Alpine Mugon Hotel spricht alle Sinne an. Hier können Sie mit Ihrer Familie ganz besondere Momente und einen rundum angenehmen Aufenthalt erleben. Wohlfühlen, entspannen, Zeit für sich haben. Dies und vieles mehr finden Sie im neuen Alpine Mugon, wo Sie schnell feststellen werden, wie natürlich, einfach und wunderbar es ist, sich wohlzufühlen.  Lichtdurchflutete, elegante und komfortable Räumlichkeiten. Schmackhafte traditionelle Spezialitäten und originelle Gaumenschmäuse.  Die regenerierende Kraft des Wassers und der Wärme lässt sich in einem wunderschönen und mehr als 1000 m² großen Wellnesscenter mit Pool, Wasserspielen, Entspannungsbereich und allem, was Sie sonst für ein vollendetes körperliches Gleichgewicht benötigen genießen. Ihr Urlaubstraum wird auf dem Monte Bondone ganz schnell zu einem Traumurlaub.;The Alpine Mugon Hotel will stimulate your senses and allow you to live special moments with your family, making your stay even more delightful. Feel good, relax and find time for yourself. This, and much more, can be experienced in the new Alpine Mugon Hotel, where you will discover how natural, easy and fantastic it is to feel good. Bright, comfortable and elegant interiors. Delicious specialities from our traditional cuisine as well as original recipes. The regenerating power of water and warmth in a beautiful wellness centre covering over 1000 square metres including a swimming pool, water features, relaxation areas as well as all that is necessary to recover your body harmony. The dream of a holiday becomes a dream holiday on Monte Bondone.;0;213;46.039072;11.056427;1;28/05/2014 14:00 AM +0100
dormire.4003;it;dormire;Hotel;Hotel;Hotel;Aquila D'oro;4;Via Belenzani 76, 38122 Trento;Via Belenzani 76, 38122 Trient;Via Belenzani 76, 38122 Trento;http://www.aquiladoro.it;info@aquiladoro.it;0461 986282;;0461 986292;aquiladoro.jpg;Stile ed eleganza nel cuore della cittá. Hotel Garni Aquila d'Oro, Easy Living: la nostra filosofia...Qualità e cura per i dettagli, un'oasi di calma e relax nel vivace centro storico del capoluogo. Un hotel dotato delle più moderne tecnologie. Un cenno particolare per le stanze del benessere, corredate da alcuni servizi wellness dove sarà possibile rilassarsi nella sauna romana o nell'idromassaggio. Ad accogliere i nostri ospiti nella splendida cornice di via Belenzani il nuovo Street Bar Golden Eagle: serate a tema, cortesia e servizio di alta qualità... Ambiente raffinato, ma familiare... tutto da scoprire!!;Stil und Eleganz im Herzen der Stadt. Hotel Garni Aquila d'Oro, Easy Living: unsere Philosophie....Qualität und Liebe zum Detail, eine Oase der Ruhe und Entspannung mitten im lebhaften Hauptstadtzentrum. Ein mit modernsten Technologien ausgestattetes Hotel. Besondere Erwähnung verdienen die mit verschiedenen Wohlfühleinrichtungen ausgestatteten Wellness-Zimmer, in denen Sie in der römischen Sauna oder der Hydromassage entspannen können.  Die in dem wunderschönen Rahmen der Via Belenzani gelegene neue Street Bar Golden Eagle bietet unseren Gästen  Themenabende, Freundlichkeit und einen hochwertigen Service... Raffiniertes, aber familiäres Ambiente....ein Besuch lohnt sich!!;Style and elegance in the heart of Trento. Hotel Garnì Aquila d'Oro: Easy Living is our philosophy... Quality and great attention to details, a relaxing and peaceful oasis in the lively historic centre of Trento. A Hotel equipped with the most modern technology. Not to be missed are the wellness rooms equipped with special wellness features where you can relax in a Roman sauna or whirlpool. The new Golden Eagle Street Bar welcomes our guests in the splendid backdrop of Via Belenzani, with themed evenings, warm hospitality and high quality services... A refined, yet friendly atmosphere ... all to be discovered!!;0;213;46.067858;11.121355;1;28/05/2014 14:00 AM +0100
dormire.4004;it;dormire;Hotel;Hotel;Hotel;Best Western Quid Hotel;4;Via Innsbruck 11, 38121 Trento ;Via Innsbruck 11, 38121 Trient ;Via Innsbruck 11, 38121 Trento ;http://www.quidhoteltrento.com;info@quidhoteltrento.com;0461 966811;;0461 991964;bestwestern.jpg;Il Quid Hotel Trento si vanta di poter offrire un'atmosfera rilassante, elegante e dotata di attrezzature hi-tech a basso impatto ambientale. Dotato di soluzioni adatte alle esigenze di chi viaggia per lavoro come di chi si gode una vacanza all'insegna dello sport, è in grado di soddisfare i bisogni dei turisti giramondo come quelle delle famiglie, mettendo per tutti a disposizione larghi spazi aperti insieme ad altri votati alla completa privacy, arredati con gusto moderno e geometrico, e dalle vivaci sfumature cromatiche. I servizi sono personalizzati così da assicurare a ciascuno dei nostri ospiti una soddisfazione totale, ed includono connessione Wi-fi gratuita sia nell'area dell'hotel che in quella del ristorante Mover. Facilmente raggiungibile da più direzioni, il Quid Hotel Trento si trova a 500 metri dal casello Trento nord dell'autostrada A22, e ad una distanza di appena cinque minuti dal centro storico di Trento.;Im Quid Hotel Trento findet der Gast eine entspannende, elegante Atmosphäre gepaart mit umweltverträglicher Hi-Tech-Ausstattung. Zum Angebot gehören Lösungen, die sowohl beruflich Reisende als auch Sportbegeisterte, Weltenbummler und Familien ansprechen. Neben großflächigen Outdoor-Bereichen bieten modern, geometrisch und mit lebhaften Farben ausgestattete Zimmer eine vollkommene Privatsphäre. Das Serviceangebot wurde in Hinblick auf die Rundumzufriedenheit unserer Gäste personalisiert und beinhaltet einen kostenlosen Wi-Fi-Anschluss im Hotel sowie im Restaurant Mover.  Das von allen Richtungen aus gut erreichbare Quid Hotel befindet sich in 500 m Entfernung von der A-22-Autobahnmautstelle Trento Nord, während die Altstadt Trient in nur fünf Minuten erreichbar ist. ;Quid Hotel Trento is proud to offer a relaxing and elegant atmosphere in a hi-tech, yet environmentally friendly facilities. Business travellers will find solutions adapted to their needs as will sports lovers. In fact, any need is catered for: from globetrotters to family groups, everyone can enjoy large bright common spaces as well as private rooms, all furnished in a modern geometric style with lively colourful nuances. The hotel services are personalised, so as to ensure our guests are completely satisfied, and include free Wi-Fi connections both in the hotel area and in the Mover restaurant area. Easily reached from most directions, the Quid Hotel Trento is only 500 metres from the Trento Nord exit of the A22 motorway and only five minutes from Trento historic centre .;0;213;46.111236;11.091853;1;28/05/2014 14:00 AM +0100
dormire.4005;it;dormire;Hotel;Hotel;Hotel;Buonconsiglio;4;Via Romagnosi 14/16, 38122 Trento;Via Romagnosi 14/16, 38122 Trient;Via Romagnosi 14/16, 38122 Trento;http://www.hotelbuonconsiglio.com;hotelhb@tin.it;0461 272888;;0461 272889;buonconsiglio_hotel.jpg;Albergo funzionale, moderno, spazi luminosi e discreti, servizio accurato. Attrezzato per portatori di handicap. Collegamento ad internet e Wireless in tutta la struttura. Situato in zona centrale fra il Castello del Buonconsiglio e le stazioni FF.SS e autocorriere (c.az. 300mt.). Facilmente raggiungibile dall'uscita autostradale. Disponiamo di una sala riunioni di medie dimensioni con aria condizionata e moderni impianti audio-visivi. Servizio bar e veranda per coffee-break e brunch. Le 45 stanze e la suite sono confortevoli, modernamente arredate, insonorizzate e dotate di impianto di climatizzazione, materassi ortopedici, TV satellitare, telefono, cassaforte elettronica e mini-bar. ;Funktionelles, modernes Hotel mit lichtdurchfluteten, diskreten Räumen und einem sorgfältigen Service. Behindertengerecht. Wireless Internetanschluss im gesamten Gebäude. Zentral zwischen dem Schloss Buonconsiglio, dem Bahnhof und dem Busbahnhof gelegen (ungefähr 300 m).  Leicht von der Autobahnausfahrt erreichbar. Mittelgroßer Konferenzraum mit Klimaanlage und moderner audio-visueller Anlage. Bar und Terrasse für Kaffeepausen und Brunch. Die 45 Zimmer und die Suite sind komfortabel, modern eingerichtet, schalldicht und verfügen über Klimaanlage, orthopädische Matratzen, Sat-TV, Telefon, elektronischen Tresor und Minibar. ;A functional and modern hotel with bright and discreet interiors and an excellent service. Equipped for welcoming disabled guests. Wireless internet connection throughout the hotel. Located in a central area between Castello del Buonconsiglio and the train and bus stations (about 300 m). Easily reached from the motorway exit. We have medium-sized meeting rooms available, equipped with air-conditioning and modern audio-visual facilities. Bar service and terrace available for coffee-breaks and brunches. The 45 rooms and the suite are comfortable, modern, soundproofed and equipped with air-conditioning, orthopaedic mattresses, satellite TV, telephone, electronic safe and mini bar. ;0;0;46.072948;11.122516;1;23/05/2014 14:00 AM +0100
dormire.4006;it;dormire;Hotel;Hotel;Hotel;Grand Hotel Trento;4;Via Alfieri 1/3, 38122 Trento;Via Alfieri 1/3, 38122 Trient;Via Alfieri 1/3, 38122 Trento;http://www.grandhoteltrento.com;reservation@grandhoteltrento.com;0461 271000;;0461 271001;granhoteltrento.jpg;"Il Grand Hotel Trento sorge nel centro della città ed è considerato ormai parte del patrimonio culturale di Trento stessa; offre 136 camere dotate di ogni comfort, ristorante con menù tipici ed internazionali, salette private e sale per banchetti. Dispone inoltre di un centro congressi con sale per 700mq. attrezzato con le più innovative tecnologie audiovisive e di traduzione. Moderno centro benessere con vari trattamenti per il corpo e la mente. ";Das Grandhotel Trento liegt in der Stadtmitte und gehört zum Kulturerbe von Trient. Es bietet seinen Gästen 136 Komfortzimmer, ein Restaurant mit typischen und internationalen Gerichten, private wie Bankettsäle. Darüber hinaus verfügt es über ein Kongresszentrum mit 700 m² einnehmenden Sälen, die alle mit den innovativsten audiovisuellen und Übersetzungstechnologien ausgestattet sind. Modernes Wellnesscenter mit verschiedenen Körper und Geist verwöhnenden Anwendungen. ;"Grand Hotel Trento is found in the town centre and is now considered a part of the cultural heritage of Trento; it has 136 fully equipped rooms, a restaurant that serves local as well as international dishes, private dining rooms and banqueting halls. It also has a congress centre with rooms that cover 700 sq.m, equipped with the most innovative audiovisual and interpretation technology. Modern wellness centre providing various treatments for body and mind. ";0;214;46.071132;11.121765;1;28/05/2014 14:00 AM +0100
dormire.4007;it;dormire;Hotel;Hotel;Hotel;Le Blanc ;4;Loc. Vason 64, 38123 Trento;Loc. Vason 64, 38123 Trient;Loc. Vason 64, 38123 Trento;http://www.leblanchotelspa.com;reservations@leblanchotelspa.com;0461 947457;;0461 939310;leblanc.jpg;"In località Vason di Monte Bondone a quota 1.650 metri, domina il ""Le Blanc Hotel & Spa"" . Una hall dalla quale ammirare tutta la Valle dell'Adige, 85 camere arredate con gusto, semplicità ed eleganza, balconi affacciati sulle piste e sul gruppo del Brenta, 400 mq di area Wellness per offrire pieno relax e attenzione agli ospiti, ed uno splendido ristorante con cucina tradizionale ed internazionale. Le camere molto ampie sono provviste di tutti i comfort: phon, cassaforte, telefono, TV satellitare. Il nuovissimo centro Wellness dotato oltre che di piscina interna, giochi d'acqua ed idromassaggio,anche di cabine per trattamenti e massaggi, sauna, bagno turco, cascata del ghiaccio, grotta del sale, cromoterapia e zona relax. Tutto questo a poche decine di metri dagli impianti di risalita.";In Vason auf dem Monte Bondone liegt in 1650 m Höhe das Le Blanc Hotel & Spa. Von der Hall genießen Sie einen traumhaften Blick auf das gesamte Etschtal. Die 85 Zimmer sind einfach und elegant eingerichtet und haben auf die Skipisten und die Brenta-Gruppe ausgerichtete Balkons. Im 400 m² großen Wellness-Bereich finden unsere Gäste Rundumentspannung und eine sorgfältige Betreuung. Das traumhafte Restaurant bietet traditionelle und internationale Küche. Die großräumigen Zimmer sind mit jedem Komfort ausgestattet: Haartrockner, Tresor, Telefon, Sat-TV. Das brandneue Wellnesscenter bietet neben einem Hallenbad, Wasserspielen und Hydromassage auch Kabinen für Anwendungen und Massagen, eine Sauna, ein Dampfbad, einen Eiswasserfall, eine Salzgrotte, Farbtherapie und einen Entspannungsbereich. Dieses Rundumangebot finden Sie in nur ein Paar Dutzend Metern von den Aufstiegsanlagen entfernt.;Le Blanc Hotel & Spa stands in Vason di Monte Bondone at 1650 metres altitude. A hall overlooking the whole of the Valle dell'Adige, 85 rooms furnished in a stylish, simple and elegant manner, balconies overlooking the ski-slopes and the Brenta mountains, a 400 sq.m wellness area to pamper our guests and allow them to relax, and a splendid restaurant with traditional local and international cuisine. The very large rooms are equipped with all modern conveniences: hairdryer, en-suite safe, telephone, satellite TV. The brand new Wellness centre has an indoor swimming pool, water features and whirlpool as well as booths for treatments and massages, sauna, steam bath, ice shower, salt grotto, colour therapy and relaxation area. All this only a few dozen metres from the ski lifts.;0;214;46.041678;11.059538;1;28/05/2014 14:00 AM +0100
dormire.4008;it;dormire;Hotel;Hotel;Hotel;Norge Wellness Resort;4;Strada del Norge 3, 38123 Monte Bondone - Trento;Strada del Norge 3, 38123 Monte Bondone, Trient;Strada del Norge 3, 38123 Monte Bondone - Trento;http://www.hotelnorge.it;info@hotelnorge.it;0461 947436;;0461 947538;norge.jpg;Proprio sulla pista da sci a 1500 m , sorge in posizione panoramica il Wellness Norge Resort, l'incanto del Monte Bondone, in una zona tranquilla che dall'alto domina lo splendido scenario offerto dalle spettacolari Dolomiti e dove la sua posizione gli permette di essere soleggiato durante tutto l'arco della giornata. In un ambiente familiare, raffinato e discreto che riflette la bellezza della natura che lo circonda, ottimo per le per pause invernali ed estive, un hotel dove l' accoglienza, il benessere, il relax e la buona cucina saranno i protagonisti delle vostre vacanze. In ogni stagione dell'anno, un'isola a sé dove dedicarsi il meglio: benessere, armonia e relax in ogni stagione e d'inverno il piacere di ritornare nel proprio hotel con gli sci ai piedi. A vostra disposizione il nostro Centro Benessere all'avanguardia, la Beauty Farm, Area Fitness, play room e mini club per i più piccoli, cucina rinomata con serate a tema, lounge bar, area relax, wi.fi., intrattenimento ed animazione per tutti. Hotel Norge dispone di 39 camere suddivise in più tipologie: Classic, Superior, De Luxe, J Suite Open, J Suite Love e J Suite Panorama. Ogni camera risulta unica per la sua posizione, disposizione, scelta degli arredi e dei colori al fine di incontrare al meglio le esigenze degli ospiti. Tutte le camere dispongono di bagno con doccia, phon, linea cortesia personalizzate, ciabattine, cassaforte, minibar, tv, telefono e wi.fi.;Direkt auf der Skipiste befindet sich in 1500 m Höhe in Panoramalage das Wellness Norge Resort. Hier auf dem bezaubernden Monte Bondone dominiert dieses ganztägig von der Sonne verwöhnte Hotel das traumhafte Szenarium der spektakulären Dolomiten. Familiäres, raffiniertes und diskretes Ambiente, das die Schönheit der umliegenden Natur widerspiegelt. Optimal für Winter- und Sommerurlaube im Zeichen von Gastfreundlichkeit, Wohlgefühl, Entspannung und guter Küche. Zu jeder Jahreszeit ist dieses Hotel eine wohltuende Insel: Wohlgefühl, Harmonie und Entspannung rund um das Jahr und im Winter der Genuss, direkt mit angeschnallten Skiern zum Hotel zurückzukommen. Auf unsere Gäste warten außerdem ein hoch modernes Wellnesscenter, eine Beauty Farm, ein Fitnessbereich, Spielzimmer und Miniclub für Kleinkinder, eine renommierte Küche mit Themenabenden, eine Lounge Bar, ein Entspannungsbereich, Wi-Fi-Anschluss, Unterhaltungsprogramm und Animation für alle. Das Hotel Norge verfügt über 39 nach unterschiedlichen Typologien unterteilte Zimmer: Classic, Superior, De Luxe, J Suite Open, J Suite Love und J Suite Panorama. Die Zimmer unterscheiden sich nicht nur in ihrer Größe, sondern auch in ihrer jeweils einzigartigen Position, Anordnung, Einrichtung und farblichen Gestaltung, um den Anforderungen unserer Gäste bestmöglich gerecht zu werden. Alle Zimmer verfügen über ein Duschbad, Haartrockner, personalisiertes Pflegeset, Schläppchen, einen Tresor, eine Minibar, TV, Telefon und Wi-Fi.;"Right on the skiing slopes at 1500 m, the Wellness Norge Resort stands out in a panoramic position, against the charming background of Monte Bondone, in a peaceful area that overlooks the splendid scenario of the Dolomites, while its favourable position is sun-kissed throughout the day. In a friendly, refined and discreet atmosphere that mirrors the beauty of its surroundings, ideal both for summer and winter breaks, a hotel where hospitality, well-being, relaxation and good food will be the protagonists of your holiday. In every season of the year, an oasis where you can pamper yourself and find well-being, harmony and relaxation throughout the year. And in winter, enjoy the pleasure of reaching your hotel with your skis still on your feet. You will surely enjoy our modern Wellness Centre, the Beauty Farm, the Fitness Area, the play-room and Kids' club for young guests, our renowned cuisine with themed evenings, the lounge bar, the relaxation area; and moreover, Wi-Fi connection and entertainment for all. Hotel Norge has 39 rooms classed according to different types: Classic, Superior, De Luxe, J Suite Open, J Suite Love and J Suite Panorama. They do not only differ in size but each room is unique due to its different position, layout, furnishings and colours.-In this way we ensure that every guest will be truly satisfied. All of the rooms have a bathroom with shower, hairdryer, customized hotyel kit, slippers, en-suite safe, mini bar, TV, telephone and Wi-Fi.";0;129;46.048879;11.066853;1;28/05/2014 14:00 AM +0100
dormire.4009;it;dormire;Hotel;Hotel;Hotel;Relais Vecchio Maso ;4;Strada Monastero di S. Anna, 38123 Sopramonte - Trento ;Strada Monastero di S. Anna, 38123 Sopramonte - Trient ;Strada Monastero di S. Anna, 38123 Sopramonte - Trento ;http://www.vecchio-maso.it;info@vecchio-maso.it;0461 1922000;;0461 1922001;relais_vecchio_maso.jpg;Un grande amore e rispetto per l'arte e la tradizione trentina ha spinto la famiglia Nicolodi a realizzare un vero gioiello di ospitalità, sulle pendici del Monte Bondone, nelle immediate vicinanze della città di Trento. Relais Vecchio Maso è stato costruito seguendo fedelmente l'impronta delle antiche dimore contadine del luogo ed arricchito con notevoli pezzi d'arte ed antiquariato, frutto di anni di accurate ed appassionate ricerche. La struttura offre stanze e suite personalizzate dotate di tutti i comfort, un centro Wellness con spa-suite private, sala congressi, garage coperto, sala lettura, lounge-bar e terrazza. La zona servita regolarmente con collegamenti in autobus per il centro città e gli impianti di risalita del Monte Bondone.;Große Liebe für und viel Respekt vor der Trentiner Tradition hat Familie Nicolodi dazu veranlasst, ein wahres Schmuckstück der Gastfreundlichkeit auf den Hängen des Monte Bondone, ganz in der Nähe von Trient, zu schaffen. Das Relais Vecchio Maso wurde in perfekter Übereinstimmung mit den alten hiesigen Bauernhäusern erbaut und erhielt dann durch bemerkenswerte, sorgfältig ausgewählte Kunstwerke und Antiquitäten, die über die Jahre hinweg mit unermüdlicher Sammellust gesammelt wurden, seine ganz persönliche Note.  Das Hotel bietet personalisierte Komfortzimmer und -Suiten, ein Wellnesscenter mit privater Spa-Suite, einen Kongresssaal, Garagenplätze, einen Lesesaal, sowie eine Lounge-Bar und Terrasse. Das Gebiet wird regelmäßig von Bussen zum Zentrum und zu den Aufstiegsanlagen des Monte Bondone angefahren.;A great love and respect for Trentino art and traditions has driven the Nicolodi family to create this hospitality gem on the slopes of Monte Bondone near the town of Trento. Relais Vecchio Maso was built adhering strictly to the architecture of the historic farmsteads in the area. The Relais was then enriched with remarkable pieces of art and antique furniture, collected over the years with long yet passionate searches. The hotel has personalised rooms and suites equipped with all modern conveniences, a Wellness centre with private spa-suites, a conference room, an indoor car park, a reading room, a lounge-bar and terrace. The area is regularly served by bus connections to the town centre and the Monte Bondone ski lifts.;0;213;46.068229;11.056362;1;28/05/2014 14:00 AM +0100
