id;mainLocale;categoryName;Classifications-it;Classifications-de;Classifications-en;Name-it;Name-de;Name-en;Address-it;Address-de;Address-en;urlPage;email;phone;relatedContentId;pictureUrl;ShortDescription-it;ShortDescription-de;ShortDescription-en;lastModificationDate;pictureWidth;latitude;longitude;startDate;endDate;EventDateDescription-it;EventDateDescription-de;EventDateDescription-en
event.major.1;it;event;Eventi principali;Main Events;Main Events;Trento Film Festival della Montagna ;Trento Film Festival della Montagna (Bergfilmfestival in Trient);Trento Mountain Film Festival ;;;;http://trentofilmfestival.it;info@trentofilmfestival.it;0461 986120;;filmfestival_2012.jpg;Rassegna cinematografica internazionale di film di montagna, esplorazione e avventura. Un programma all'insegna di una ricca sezione di film narrativi e documentari d'autore che presentano racconti emozionanti di uomini in relazione agli spazi della natura, della montagna e dell'avventura. Oltre al programma cinematografico il festival propone anche incontri, mostre tematiche, spettacoli e una rassegna internazionale dell'editoria di montagna. ;Internationales Filmfestival zu den Themen Berge, Expeditionen und Abenteuer. Das Festival bietet ein reichhaltiges Programm an Spiel- und Dokumentarfilmen, die faszinierende Erlebnisse und Abenteuer von Menschen in der Natur und in den Bergen schildern. Neben Filmen bietet das Festival auch ein vielseitiges Rahmenprogramm mit Diskussionen und Treffen, Ausstellungen, zahlreichen weiteren Veranstaltungen und einer internationalen, der Bergwelt gewidmeten Büchermesse.;International film festival of mountain, exploration and adventure films.  A programme with a rich section of narrative films and documentaries by distinguished film makers, presenting exciting stories about men in relation to nature, mountains and adventure. In addition to the film programme the festival also offers meetings, exhibitions on a theme, shows and an international exhibition of books about the mountains.;28/05/2014 10:00 AM +0100;0;;;01/12/2011 06:00 AM +0200;07/11/2080 06:00 AM +0200;Aprile-Maggio;April-Mai;April-May
event.major.2;it;event;Eventi principali;Main Events;Main Events;Mostra dei vini;Mostra dei vini (Weinausstellung);Mostra dei vini (Wine Exhibition);;;;http://www.palazzoroccabruna.it;;0461 887101;;mostra_vini.jpg;La Mostra dei Vini, classico appuntamento di fine primavera per gli appassionati di vino e grappe del territorio trentino, rappresenta un importante momento di confronto e di relazione tra i produttori locali, gli operatori turistici, il territorio e le sue genti. E' anche il momento in cui il visitatore può avvicinarsi alla produzione enologica trentina nel clima festoso della città di Trento tra le sue bellezze storiche e culturali. All'interno della manifestazione sono previsti diversi incontri ed approfondimenti per apprezzare l'infinita varietà di profumi e sapori dei vini trentini e dei prodotti che compongono l'identità enogastronomica locale.;Die Weinausstellung, eine traditionelle Veranstaltung, die Ende Frühling stattfindet und den Liebhabern von Wein und Grappa des Trentino gewidmet ist, bietet eine hervorragende Gelegenheit, die lokalen Produzenten, die Tourismusbetriebe und natürlich auch die einheimische Bevölkerung kennen zu lernen. Die Weinausstellung ist auch ein Anlass, sich in der feierlichen Atmosphäre der Stadt Trient, inmitten ihrer historischen und kulturellen Sehenswürdigkeiten, der Weinherstellung des Trentino zu nähern. Im Rahmen der Veranstaltung sind verschiedene Begegnungen und informative Veranstaltungen vorgesehen, auf denen die unendliche Vielfalt an Duft- und Geschmacksnoten der Trentiner Weine und der Produkte vorgestellt wird, die die lokale Önogastronomie auszeichnen.;The Wine Exhibition, classic end-of-spring event for lovers of wines and grappas from Trentino, offers a great opportunity for exchange and confrontation between local producers, tourism operators, the territory and its people. This is also a time when visitors can get to know Trentino’s wine production in the lively atmosphere of the city of Trento, with its historical and cultural beauties. During the event there are several meetings and occasions for more in-depth information, to appreciate the infinite variety of scents and flavours of Trentino wines and products that are at the heart of its enogastronomic identity.;24/05/2014 10:00 AM +0100;0;46.06636;11.123448;01/10/2011 06:00 AM +0200;07/11/2080 06:00 AM +0200;fine Maggio;ende Mai;end of May
event.major.3;it;event;Eventi principali;Main Events;Main Events;Festival Economia;Festival Economia (Wirtschaftsfestival);Festival dell'Economia (Economics Festival);;;;http://festivaleconomia.eu;info@festivaleconomia.it;0461 260511;;festival_economia.jpg;"Esperti nazionali ed internazionali in economia animano ogni anno la città con nuove occasioni di confronto e di riflessione, incontri pubblici ed iniziative culturali. In occasione del festival il capoluogo trentino ospita i protagonisti di ricerche significative per esporre le loro tesi e promuovere il dibattito su un tema di grandissima attualità. A interloquire con loro la gente ""comune"", senza distinzione di età, estrazione sociale e titolo di studio: un festival di tutti e aperto a tutti per capire cosa aspettarci dallo scenario economico futuro, in cui tutti siamo coinvolti. ";Nationale und internationale Wirtschaftsexperten kommen jedes Jahr nach Trient, um neue Ansätze und Überlegungen anlässlich der verschiedenen öffentlichen Veranstaltungen und kulturellen Initiativen vorzustellen und zu diskutieren. Gäste des Festivals in Trient sind die Protagonisten bedeutender Forschungsarbeiten, die hier ihre Theorien vorstellen und die Debatte zu aktuellen Themen anregen. Als Gesprächspartner sind alle Bürger eingeladen, unabhängig von Alter, Bevölkerungsschicht und Bildungsstand: Das Festival steht allen offen, um zu verstehen, was uns das zukünftige wirtschaftliche Szenario bringen wird, in das wir alle einbezogen sind.;"National and international economics experts bring new life to the city every year with opportunities for discussion and reflection, public meetings and cultural initiatives. During the festival, Trento hosts authors of significant research who present their thesis and encourage the debate on a matter of great topical interest.  Discussing with them are ""common"" people, regardless of age, social class and education: a festival for everyone and open to  everyone, to understand what we can expect from a future economic scenario that is going to affect all of us.";24/05/2014 10:00 AM +0100;0;;;03/09/2011 06:00 AM +0200;07/11/2080 06:00 AM +0200;Giugno;Juni;June
event.major.4;it;event;Eventi principali;Main Events;Main Events;Feste Vigiliane;Feste Vigiliane;Feste Vigiliane;;;;http://www.festevigiliane.it;trento.immagine@tin.it;0461 917111;;feste_vigiliane.jpg;Le Feste Vigiliane, dedicate al patrono della città, trasformano il centro storico in un antico borgo medioevale animandolo con giochi, musica e spettacoli, mentre nell'aria si diffondono i profumi della cucina tipica. La Cena Benedettina, il Tribunale di Penitenza con la successiva Tonca, la Zatterada, il Corteo Storico, la Mascherada dei Ciusi e dei Gobi e il Pontificale sono gli elementi storici di interesse che caratterizzano anche culturalmente la festa del Santo Patrono.;Anlässlich des Stadtfestes „Feste Vigiliane“, das dem Schutzheiligen von Trient, San Vigilio, gewidmet ist, verwandelt sich die historische Altstadt in einen mittelalterlichen Ort, den eine Vielzahl von Veranstaltungen belebt - Spiele, Musik und Darbietungen verschiedener Art – und nicht zuletzt natürlich die gastronomischen Spezialitäten der Region. Die „Cena Benedettina“ (Benediktinischer Abendessen), das „Tribunale di Penitenza“ (Strafgericht) mit anschließender „Tonca“ (Bestrafung durch Eintauchen in die Etsch), die „Zaterada“ (Flößerrennen), der „Corteo Storico“ (historischer Umzug), und die „Mascherada dei Ciusi e dei Gobi“ (Wettstreit in historischen Kostümen um eine riesige Polenta) sowie das „Pontificale“ (Pontifikalamt) sind die historischen Elemente, die das Stadtfest zu Ehren des Schutzheiligen bereichern.;The Feste Vigiliane, dedicated to San Vigilio, the patron saint of the city, turn the historical city centre into an old medieval village  with lively games, music and shows, while the air fills with the smells of typical local food. The “Cena Benedettina (Benedictine Dinner), the “Tribunale di Penitenza” (Court of Penance) followed by the “Tonca” (punishment by immersion in the Adige river) the “Zaterada” (Raft race), the “Corteo storico” (Historic Parade), the Mascherada dei Ciusi e dei Gobi (a contest in historical costumes for a big “polenta”) and the “Pontificale” (Pontifical mass) provide moments of historical and cultural interest during the patron saint festival.;10/06/2014 10:00 AM +0100;0;;;02/09/2011 06:00 AM +0200;07/11/2080 06:00 AM +0200;Giugno;Juni;June
event.major.5;it;event;Eventi principali;Main Events;Main Events;Gran Fondo Charly Gaul;(Radrennen) Gran Fondo Charly Gaul;Gran Fondo Charly Gaul (Cycling race);;;;http://www.laleggendariacharlygaul.it/;charlygaul@apt.trento.it;0461 216000;;charly_gaul.jpg;L'idea di creare una gara ciclistica intitolata al famoso sportivo è nata nel 2005 in occasione della visita di Charly Gaul al Bondone, la montagna di Trento che lo rese famoso per la sua epica impresa nel giugno 1956. Da allora si sono svolte sette edizioni, con nuovi percorsi e traguardi, accomunati tutti dall'ascesa del Monte Bondone. ;Die Idee, ein Radrennen zu Ehren des berühmten Radsportlers zu veranstalten, entstand im Jahre 2005 anlässlich des Besuchs von Charly Gaul auf dem Bondone, dem Berg der Stadt Trient, der den Sportler für seine einzigartige Leistung im Juni 1956 berühmt machte. Seit 2005 wurden sieben Rennen mit je neuen Strecken und Zielen veranstaltet, die alle eines gemeinsam haben: die Eroberung des Monte Bondone.;The idea to introduce a bicycle race dedicated to the famous sportsman goes back to 2005 during Charly Gaul’s visit to Bondone, the Trento mountain that made him famous for his epic performance in June 1956. Since then there have been seven editions, with new routes and finishing lines but one thing in common: the climbing of Monte Bondone.;24/05/2014 10:00 AM +0100;0;;;01/09/2011 06:00 AM +0200;07/11/2080 06:00 AM +0200;fine Luglio;ende Juli;end of July
event.major.6;it;event;Eventi principali;Main Events;Main Events;Contrada Larga ;Contrada Larga ;Contrada Larga ;;;;http://www.trentocultura.it;;0461 884287;;contrada_larga2012.jpg;Tradizionale appuntamento che si rinnova ogni estate dove protagonista è la musica classica. Alla reaasegna partecipano musicisti provenienti da aree geografiche diverse che portano a Trento la tradizione e la specificità della loro cultura musicale, all'insegna dell'eccellenza.;Im Mittelpunkt dieser traditionellen Veranstaltung, die jeden Sommer stattfindet, steht die Musik. Die Teilnehmer sind Musiker aus verschiedenen Ländern, die die warme Jahreszeit mit den Traditionen und Besonderheiten ihrer musikalischen Kultur und ihrem Talent noch bereichern.;A classic event returning every summer and where music is the absolute protagonist. Musicians from different geographical areas bring to Trento the tradition and special character of their musical culture in an atmosphere of excellence.;24/05/2014 10:00 AM +0100;2;;;02/08/2011 06:00 AM +0200;07/11/2080 06:00 AM +0200;Luglio – Agosto;Juli end August;July and August
event.major.7;it;event;Eventi principali;Main Events;Main Events;Palio delle Contrade;Palio delle Contrade;Palio delle Contrade;;;;http://www.amicitta.com;amicitta@tin.it;;;PALIO.jpg;Grazie al Palio delle Contrade Piazza Duomo, una delle più belle piazze del nostro centro storico, si trasformerà in una vera e propria piazza d'armi con accampamenti medioevali e personaggi in costume che faranno rivivere al vasto pubblico di cittadini e turisti la Trento di un tempo, fatta di borghi, quartieri, contrade, spadaccini, balestrieri, sbandieratori, giocolieri, paggi e dame. ;Anlässlich des „Palio delle Contrade“ verwandelt sich Piazza Duomo, einer der schönsten Plätze der historischen Altstadt von Trient, in einen wahrhaften Waffenplatz mit mittelalterlichen Lagern und kostümierten Protagonisten, die vor dem Publikum aus Einheimischen und Touristen das mittelalterliche Trient mit seinen Dörfern, Stadtvierteln, Straßen, Schwertkämpfern, Bogenschützen, Fahnenschwenkern, Jongleuren, Edelfrauen und Edelmännern wiederaufleben lassen.;Piazza Duomo, one of the most beautiful squares of Trento’s historical centre, is transformed for the occasion into a veritable parade ground with medieval camps and characters in historical costume, bringing back to life for the large number of citizens and tourists the Trento of a long time ago, with hamlets, neighbourhoods, districts, swordsmen, crossbowmen, flag flyers, jugglers, pages and ladies.;24/05/2014 10:00 AM +0100;0;;;31/07/2011 06:00 AM +0200;07/11/2080 06:00 AM +0200;Settembre;September;September
event.major.8;it;event;Eventi principali;Main Events;Main Events;Borsa Internazionale del Turismo Montano ;Borsa Internazionale del Turismo Montano (Internationale Bergtourismusbörse);Borsa Internazionale del Turismo Montano (International Mountain Tourism Exchange);;;;http://www.bitm.it;bitm@bitm.it;0461 434200;;bitm.jpg;Nel cuore del centro storico di Trento, in Piazza Fiera, si svolgerà la rassegna fieristica dove cittadini e turisti potranno trovare gli stand delle principali località turistiche dell'arco alpino, con il proprio patrimonio di tradizioni e cultura. Sarà anche l'occasione per riflettere sulle nuove tendenze commerciali e le proposte future del turismo in montagna. Grande protagonista del confronto resterà sempre la montagna, caratteristica imprescindibile del Trentino, patrimonio di tradizioni, cultura da rispettare, ma anche da fare scoprire ed apprezzare all'esterno.;Im Herzen der historischen Altstadt von Trient, auf der Piazza Fiera, findet dieTourismusbörse statt, auf der Einheimische und Touristen an den Ständen der wichtigsten Urlaubsorte der Alpen reichhaltige Informationen über die lokalen Traditionen und das kulturelle Erbe finden. Gleichzeitig bietet die Bergtourismusbörse die Gelegenheit, neue Tendenzen und die zukünftige Entwicklung des touristischen Angebots der alpinen Regionen kennen zu lernen. Im Mittelpunkt stehen natürlich die Berge des Trentino mit ihren Traditionen und ihrer Kultur, die es zu schätzen gilt und die bei dieser Gelegenheit auch dem nicht-einheimischen Publikum vorgestellt werden sollen.;In the heart of Trento historical centre, in Piazza Fiera, is held the fair event where local people and tourists can visit the stands of the main tourist resorts in the Alps, each one with its own wealth of traditions and culture. This gives also an opportunity to consider new market trends and future offers of mountain tourism. The great protagonists are the mountains, an unfailing feature of Trentino, with a great richness of traditions and culture to be honoured, but also to be made known and appreciated in the outside world.;24/05/2014 10:00 AM +0100;0;46.065102;11.124233;20/06/2011 06:00 AM +0200;07/11/2080 06:00 AM +0200;Settembre;September;September
event.major.9;it;event;Eventi principali;Main Events;Main Events;Autunno Trentino;Autunno Trentino (Herbst im Trentino);Autunno Trentino (Autumn in Trentino);;;;http://www.autunnotrentino.it;;0461 233909;;autunno_trentino.jpg;Una vetrina privilegiata dell'enogastronomia trentina, capace di esaltare la ricchezza e la diversità delle produzioni dell'intero territorio, grazie anche al coinvolgimento delle Strade del Vino e dei Sapori del Trentino. Tutta la città e in particolar modo Piazza Cesare Battisti, nei due fine settimana di settembre, si animerà di colori, suoni, e soprattutto gusti dell'autunno, attraverso gli stand dei produttori, degustazioni e i sapori degli chef più conosciuti del territorio trentino. ;Ein ganz besonderes Schaufenster für die Önogastronomie im Trentino, die sich durch eine außerordentliche Vielfalt an Erzeugnissen des gesamten Territoriums auszeichnet und dies nicht zuletzt dank der Initiative „Strade del Vino e dei Sapori del Trentino“ (Wein- und Geschmacksstrassen des Trentino) zu unterstreichen weiß. Die gesamte Stadt und insbesondere Piazza Cesare Battisti leben an den beiden letzten Wochenenden im September mit den Farben, Klängen und vor allem den gastronomischen Spezialitäten des Herbstes auf – an den Ständen der Hersteller und der bekanntesten Chefköche des Trentino kommen die Liebhaber der lokalen Önogastronomie voll auf ihre Kosten.;A privileged showcase of Trentino food and wine, highlighting the richness and diversity of the entire territory production thanks also to the Trentino’s Roads of Wine and Flavours. The whole city, and especially Piazza Cesare Battisti, comes alive in two September weekends with the colours, sounds and above all flavours of autumn in the producers stands, with tastings and dishes by Trentino’s most famous chefs.;24/05/2014 10:00 AM +0100;0;;;01/06/2011 06:00 AM +0200;07/11/2080 06:00 AM +0200;Settembre;September;September
event.major.10;it;event;Eventi principali;Main Events;Main Events;Trekking Urbano ;Trekking Urbano (Stadtwandern);Trekking Urbano (Urban Trekking);;;;http://www.apt.trento.it/dettaglio.htm?L=it&ID=ELE0218305;informazioni@apt.trento.it;0461 216060;;logo_trekking_urbano.jpg;Un'occasione unica nel suo genere per conoscere Trento e i suoi dintorni grazie a passeggiate nei luoghi più suggestivi. Ogni anno il Comune di Trento aderisce alla giornata nazionale del trekking Urbano, promossa dal Comune di Siena, riscoprendo un nuovo percorso che va ad aggiungersi a quelli già esistenti, percorribili tutto l'anno. ;Eine einzigartige Initiative, um die Stadt Trient und ihr Umland auf Spaziergängen durch die eindrucksvollsten Orte zu erkunden. Jedes Jahr nimmt Trient am „nationalen Stadtwandertag“ teil, der von der Stadt Siena gefördert wird, und lädt zur Entdeckung einer neuen Strecke ein, die sich in das Panorama der bereits vorhandenen, das ganze Jahr über begehbaren Strecken.;A unique opportunity to get to know Trento and its surroundings with walks to the most special places. Every year the Municipality of Trento joins the urban trekking national day promoted by the Municipality of Siena, introducing a new route that will be added to the existing ones which can be travelled all year long.;24/05/2014 10:00 AM +0100;0;;;31/05/2011 06:00 AM +0200;07/11/2080 06:00 AM +0200;Ottobre;Oktober;October
