id;categoryName;mainLocale;classifications-it;classifications-de;classifications-en;name;address-it;address-de;address-en;phone;urlPage;email;timetable-it;timetable-de;timetable-en;closingDays-it;closingDays-de;closingDays-en;prices-it;prices-de;prices-en;Equipment-it;Equipment-de;Equipment-en;pictureUrl;ShortDescription-it;ShortDescription-de;ShortDescription-en;pictureWidth;pictureHeight;latitude;longitude;lastModificationDate;status
ristorazione.1000;ristorazione;it;"Ristorante; Osteria";"Restaurant; Osteria";"Restaurant; Osteria";A LE DUE SPADE;Via Don Arcangelo Rizzi 11, Trento;Via Don Arcangelo Rizzi, 11, Trient, Italien;Via Don Arcangelo Rizzi, 11, Trento, Italy;0461/234343;http://www.leduespade.com;info@leduespade.com;12.00 - 14.00/ 19.30 - 22.00;12.00 - 14.00 / 19.30 - 22.00 Uhr;12noon - 2pm / 7.30pm - 10pm;dom. e lun. a pranzo;Sonntag und Montag zu Mittag;Sun. and Mon. at lunchtime;40;40;40;"Rampa di accesso; Ingresso con gradini; Servizi igienici dedicati;";"Zufahrtsrampe; Eingang mit Stufen; behindertengerechte Toiletten;";"Access ramp; entrance with steps; disabled toilets;";a_le_due_spade.jpg;;;;0;224;46.06703;11.120212;23/05/2014 12:00 AM +0100;1
ristorazione.1001;ristorazione;it;Ristorante;Restaurant;Restaurant;AI TRE GAROFANI;Via Mazzini 33, Trento;Via Mazzini, 33, Trient, Italien;Via Mazzini, 33, Trento, Italy;0461/237543;http://www.aitregarofani.com;Tre.garofani@libero.it;12.30 – 14.00/ 19.30 22.00;12.30 – 14.00/ 19.30 22.00 Uhr;12.30pm – 2.00pm / 7.30pm - 10pm;domenica;Sonntag;Sunday;40;40;40;"Rampa di accesso;";"Zufahrtsrampe;";"Access ramp;";ai_tre_garofani.jpg;Dal 1275 Locanda del gusto. Locale storico in pieno centro città, a due passi da un comodissimo parcheggio interrato. La storia di questo locale affonda le sue radici nel lontano 13° secolo, ora che siamo nel 21°, la gestione è portata avanti da Giovanna Linardi, Chef-patronne e da suo marito il sommelier Niko Marzari. Il ristorante è intimo e raffinato, adeguato a pranzi e cene di lavoro cosÃ¬ come per piacevoli serate di coppia. Giovanna ha sposato un concetto chiaro: soltanto con ingredienti eccellenti si riesce ad ottenere piatti che soddisfino appieno la clientela, sempre più  attenta.;Seit 1275 Locanda del gusto. Mitten im Zentrum gelegenes historisches Lokal, nur wenige Schritte von einer Tiefgarage entfernt. Die Wurzeln dieses Lokals gehen auf das 14. Jh. zurück. Heute, im 21. Jh., steht es unter der Leitung der Chef-Patronne Giovanna Linardi und ihres Mannes, des Sommeliers Niko Marzari. Das intime und raffinierte Restaurant eignet sich ebenso für Arbeitsessen wie für angenehme Abende zu Zweit. Giovanna verfolgt ein klares Konzept: Gerichte, die bei den heute immer anspruchsvolleren Gästen auf volle Zufriedenheit stoßen, lassen sich ausschließlich mit herausragenden Zutaten herstellen.;"""Locanda del gusto"" (Gourmet Tavern) since 1275. A historic restaurant in the very heart of town, a short walk from a convenient underground car park. The tale of this restaurant has its roots in the far thirteenth century, and now that we are in the 21st, it is managed by Giovanna Linardi, Chef-patronne, and by her sommelier husband, Niko Marzari. The restaurant offers an intimate and elegant atmosphere suited to business lunches or dinners as well as pleasant evenings with your loved one. Giovanna embraces a clear concept: only with premium ingredients can one create dishes that fully satisfy ever more demanding customers.";0;254;46.065705;11.123024;28/05/2014 12:00 AM +0100;1
ristorazione.1002;ristorazione;it;Ristorante;Restaurant;Restaurant;AI VICOLI;Piazza S. Teresa Verzeri 1, Trento;Piazza S. Teresa Verzeri, 1, Trient, Italien;Piazza S. Teresa Verzeri, 1, Trento, Italy;0461/260673;http://www.aivicoli.it;info@aivicoli.it;12.00 - 14.30/ 19.00 - 22.30 (cucina) 11,30-14,30/18,30-24,00 (wine bar);12.00 - 14.30/ 19.00 - 22.30 Uhr (Küche) 11,30-14,30/18,30-24,00 Uhr (Wine Bar);12noon-2.30pm / 7pm-10.30pm (restaurant) 11.30am-2.30pm / 6.30pm-12midnight (wine bar);domenica;Sonntag;Sunday;25 - 45;25 - 45;25 - 45;"Rampa di accesso; Piattaforma elevatrice; Ascensore; Servizi igienici dedicati;";"Zufahrtsrampe; Hebefläche; Aufzug, behindertengerechte Toiletten;";"Access ramp; platform lift; lift; disabled toilets;";ai_vicoli.jpg;;;;0;214;46.067561;11.120293;23/05/2014 12:00 AM +0100;1
ristorazione.1003;ristorazione;it;"Ristorante; Pizzeria";"Restaurant; Pizzeria";"Restaurant; Pizzeria";AL CASTELLO;via Bernardo Clesio 10, Trento;via Bernardo Clesio, 10, Trient, Italien;via Bernardo Clesio, 10, Trento, Italy;0461/238785;;info@alcastellotrento.com;;;;;;;;;;;;;al_castello.jpg;Specialità indiane;Indische Spezialitäten;Indian specialities;0;102;46.070201;11.127042;27/05/2014 12:00 AM +0100;1
ristorazione.1004;ristorazione;it;Trattoria;Gastwirtschaft;Trattoria (family restaurant);AL MERCATO;Piazza G. Garzetti 15, Trento;Piazza G. Garzetti, 15, Trient, Italien;Piazza G. Garzetti, 15, Trento, Italy;0461/987223;;trattoriaalmercato@gmail.it;06.30 - 22.30;06.30 - 22.30 Uhr;6.30am - 10.30pm;domenica;Sonntag;Sunday;15 - 20;15 - 20;15 - 20;"Rampa di accesso; Piattaforma elevatrice; Servizi igienici dedicati;";"Zufahrtsrampe; Hebefläche; behindertengerechte Toiletten;";"Access ramp; platform lift; disabled toilets;";al_mercato.jpg;;;;0;213;46.065914;11.123861;23/05/2014 12:00 AM +0100;1
ristorazione.1005;ristorazione;it;"Ristorante; Pizzeria";"Restaurant; Pizzeria";"Restaurant; Pizzeria";AL NUOVO FARO;Via Brescia 45, Trento;Via Brescia, 45, Trient, Italien;Via Brescia, 45, Trento, Italy;0461/263911;;alnuovofaro@yahoo.it;10.00 - 22.00;10:00 - 22:00 Uhr;10am - 10pm;lunedì;Montag;Monday;12 (bibite escluse);12 (außer Getränke);12 (drinks not included);"Parcheggio; Servizi igienici dedicati;";"Parkplatz; behindertengerechte Toiletten;";"Car park, disabled toilets;";al_nuovo_faro.jpg;;;;0;240;46.070592;11.111702;23/05/2014 12:00 AM +0100;1
ristorazione.1006;ristorazione;it;Trattoria;Gastwirtschaft;Trattoria (family restaurant);AL TINO;Via S. Trinità 10, Trento;Via S. Trinità , 10, Trient, Italien;Via S. Trinità, 10, Trento, Italy;0461/984109;;;11.30 - 14.30/ 18.30 - 21.30;11:30 - 14:30 / 18:30 - 21:30 Uhr;11.30am - 2.30pm/ 6.30pm - 9.30pm;domenica;Sonntag;Sunday;;;;"Ingresso con gradini; Servizi igienici dedicati;";"Eingang mit Stufen; behindertengerechte Toiletten;";"Entrance with steps; disabled toilets;";a_tino.jpg;;;;0;186;46.066189;11.122989;27/05/2014 12:00 AM +0100;1
ristorazione.1007;ristorazione;it;Ristorante;Restaurant;Restaurant;AL VO';Vicolo del Vò 11, Trento, Italia;Vicolo del Và², 11, Trient, Italien;Vicolo del Vò, 11, Trento, Italy;0461/985374;http://www.ristorantealvo.it;info@ristorantealvo.it;11.00 - 14.30 (la sera per gruppi solo su prenotazione);11.00-14.30 Uhr (abends für Gruppen, nur nach Reservierung);11am - 2.30pm (in the evening only for groups, booking required);domenica (aperto per manifestazioni o per gurppi prenotati);Sonntag (für Veranstaltungen oder reservierte Gruppen geöffnet);Sunday (open for special events or booked groups);15 - 25;15 - 25;15 - 25;;;;al_vo.jpg;Nel 1345 Enrico apriva la più  antica osteria di Trento col nome di AD SIGNUM ROTAE. Oggi la famiglia Antoniolli continua questa tradizione di cucina e cortesia nel cuore del centro storico, in tre accoglienti sale a volta. Il Ristorante al Vo' è un luogo dove l'amore per la cucina di territorio esprime in una gastronomia moderna ma genuina, che vuole valorizzare prodotti e produttori locali, con particolare attenzione al TRENTODOC.;1345 eröffnete Enrico die älteste Osteria Trients: AD SIGNUM ROTAE. Heute führt Familie Antoniolli die traditionell gastfreundliche Bewirtung in drei gemütlichen Sälen mit Deckengewölben in der Altstadt-Osteria weiter.  Im Restaurant Al VÒ äußert sich die Vorliebe für die hiesige Küche in Form einer modernen, aber ursprünglichen Gastronomie, in deren Mittelpunkt die Valorisierung lokaler Produkte steht. Ein besonderes Augenmerk gilt in diesem Zusammenhang dem TRENTODOC Spumante.;In 1345, Enrico opened the oldest osteria  in Trento and called it AD SIGNUM ROTAE. Today, in the very heart of the historic town centre, the Antoniolli family continues this tradition of good food and refined service in three welcoming vaulted rooms. The Restaurant al Vò is a place where the love for local dishes is expressed through a modern yet natural cuisine that focuses on local produce and producers, especially on TRENTODOC spumante.;1;427;46.070782;11.123981;23/05/2014 12:00 AM +0100;1
ristorazione.1008;ristorazione;it;Ristorante;Restaurant;Restaurant;AL VOLT;Via Santa Croce, 16, Trento;Via Santa Croce, 16, Trient, Italien;Via Santa Croce, 16, Trento, Italy;0461/983776;http://www.tienne.it/alvolt;Trattoria_al_volt@yahoo.it;08.00 - 14.00/ 18.00 - 22.00;08:00 - 14:00/ 18:00 - 22:00 Uhr;8am - 2pm/ 6pm - 10pm;giovedì e domenica sera;Donnerstag und Sonntag Abend;Thursday and Sunday evening;24;24;24;"Parcheggio; Ingresso con gradini; Servizi igienici dedicati;";"Parkplatz; Eingang mit Stufen; behindertengerechte Toiletten;";"Car park; entrance with steps; disabled toilets;";volt.jpg;;;;0;186;46.064537;11.12328;23/05/2014 12:00 AM +0100;1
ristorazione.1009;ristorazione;it;"Ristorante; Pizzeria";"Restaurant; Pizzeria";"Restaurant; Pizzeria";AL 77;Via Giuseppe Verdi 77, Trento;Via Giuseppe Verdi, 77, Trient, Italien;Via Giuseppe Verdi, 77, Trento, Italy;0461/237209;;pizzeria.al77@hotmail.com;12.00 - 15.00/ 18.00 - 24.00;12.00 - 15:00/ 18:00 - 24.00 Uhr;12noon - 3pm/ 6pm - 12midnight;domenica (novembre, dicembre, gennaio sempre aperti);Sonntag (November, Dezember, Januar immer geöffnet);Sunday (November, December, January always open);pizza 10 ristorante 18;Pizza 10 - Restaurant 18;pizza 10, restaurant 18;"Ingresso con gradini; Servizi igienici dedicati;";"Eingang mit Stufen; behindertengerechte Toiletten;";"Entrance with steps; disabled toilets;";77.jpg;;;;0;240;46.066922;11.120658;23/05/2014 12:00 AM +0100;1
ristorazione.1010;ristorazione;it;"Ristorante; Pizzeria";"Restaurant; Pizzeria";"Restaurant; Pizzeria";ALLA GROTTA;Vicolo S. Marco 6, Trento;Vicolo S. Marco, 6, Trient, Italien;Vicolo S. Marco, 6, Trento, Italy;0461/987197;;grotta1@yahoo.it;12.00 - 15.00/ 18.30 - 24.00;12.00 - 15:00/ 18:30 - 24.00 Uhr;12noon - 3pm/ 6.30pm - 12midnight;domenica;Sonntag;Sunday;11;11;11;"Rampa di accesso; Servizi igienici dedicati;";"Zufahrtsrampe; behindertengerechte Toiletten;";"Access ramp; disabled toilets;";alla_grotta.jpg;;;;0;240;46.069837;11.12551;23/05/2014 12:00 AM +0100;1
ristorazione.1011;ristorazione;it;"Ristorante; Pizzeria";"Restaurant; Pizzeria";"Restaurant; Pizzeria";ALLA MOSTRA;Piazza della Mostra 13, Trento;Piazza della Mostra, 13, Trient, Italien;Piazza della Mostra, 13, Trento, Italy;0461/230787;http://www.allamostra.it;info@allamostra.it;ristorante 12 - 14/ 19 - 22.30 pizzeria 12 - 14.30/ 19 - 23;Restaurant 12 - 14/ 19 - 22.30 Uhr - Pizzeria 12 - 14.30/ 19 - 23 Uhr;restaurant 12noon - 2pm/ 7pm- 10.30pm pizzeria 12noon - 2.30pm/ 7pm - 11pm;lunedì    ;Montag    ;Monday    ;;;;"Servizi igienici dedicati;";"Behindertengerechte Toiletten;";"Disabled toilets;";alla_mostra.jpg;;;;0;150;46.07112;11.12584;27/05/2014 12:00 AM +0100;1
